이름, 몸무게, 키
진건, 84, 172
섭건, 69, 167
상섭, 61, 170
진경, 97, 169
민예, 60, 184
섭은, 92, 185
건진, 91, 183
채섭, 44, 196
민욱, 59, 189
채철, 80, 183
은상, 62, 181
철은, 72, 168
경예, 41, 161
건은, 71, 152
욱상, 63, 164
예수, 83, 199
건섭, 77, 191
수채, 49, 198
철욱, 47, 166
욱건, 97, 151
수민, 82, 168
은욱, 61, 165
욱은, 60, 179
채은, 99, 169
채수, 50, 174
섭건, 66, 158
철섭, 99, 160
건민, 56, 173
섭민, 69, 153
철상, 55, 160
경수, 53, 152
건수, 48, 181
민수, 88, 187
민욱, 93, 192
상경, 71, 179
민상, 50, 158
욱욱, 63, 151
민예, 71, 179
경섭, 64, 180
수민, 94, 167
민민, 48, 155
경민, 77, 156
수욱, 73, 170
진철, 60, 183
건민, 85, 161
진채, 48, 187
수섭, 98, 198
예민, 70, 190
진수, 81, 171
건상, 70, 178
예수, 42, 177
채경, 88, 161
섭섭, 71, 164
수욱, 69, 173
민철, 79, 152
상욱, 45, 154
섭섭, 85, 199
철섭, 76, 193
수경, 46, 162
상민, 64, 194
욱상, 85, 153
욱섭, 52, 156
수민, 90, 188
은철, 67, 175
예민, 66, 160
은진, 57, 155
예상, 99, 159
민경, 90, 183
은수, 46, 191
섭진, 99, 175
경채, 41, 198
상상, 57, 177
철민, 44, 190
은채, 98, 176
경민, 93, 174
은민, 68, 190
상욱, 93, 176
은예, 62, 199
철건, 40, 171
예예, 58, 163
경건, 82, 193
채경, 73, 165
은채, 45, 188
욱채, 72, 160
상섭, 81, 157
진수, 78, 188
건섭, 66, 170
민철, 54, 168
섭예, 92, 157
욱욱, 94, 155
상예, 79, 164
철경, 86, 184
섭수, 87, 180
욱건, 78, 169
진예, 96, 174
철민, 61, 171
욱예, 43, 178
욱섭, 68, 173
섭채, 66, 186
진섭, 57, 160
경섭, 85, 176
예예, 58, 198
민경, 68, 163
은민, 53, 155
건예, 52, 180
욱진, 91, 161
경예, 68, 197
상민, 62, 193
예철, 83, 168
철철, 83, 151
상욱, 43, 162
철수, 59, 184
철상, 49, 195
철건, 91, 190
철은, 74, 162
욱경, 69, 162
욱건, 63, 151
수진, 67, 167
건철, 40, 198
섭철, 99, 179
건채, 94, 188
상건, 41, 197
철예, 78, 150
수욱, 75, 162
건철, 49, 189
철채, 93, 156
민상, 77, 199
철수, 88, 165
경은, 98, 185
진경, 42, 195
섭경, 77, 153
채욱, 58, 195
건예, 54, 186
민철, 69, 195
진은, 64, 169
진예, 78, 190
은욱, 67, 188
경철, 51, 161
수건, 91, 198
은수, 75, 188
섭철, 44, 171
욱진, 62, 198
욱섭, 96, 178
건상, 78, 195
섭예, 86, 166
철은, 61, 180
경예, 96, 192
진예, 65, 171
건욱, 67, 158
섭채, 80, 173
경철, 79, 160
철예, 55, 154
채섭, 99, 173
상건, 62, 160
욱섭, 88, 191
섭건, 87, 193
채욱, 57, 157
채채, 92, 181
은상, 62, 182
은경, 88, 158
예상, 78, 153
경경, 55, 184
철철, 89, 163
경경, 94, 193
섭진, 71, 194
은철, 51, 155
진철, 86, 184
건건, 71, 195
경예, 54, 153
민철, 96, 187
욱상, 67, 171
진진, 95, 182
채은, 84, 171
욱건, 88, 153
채경, 50, 164
경예, 65, 197
민진, 66, 159
상수, 60, 191
예상, 72, 171
건경, 41, 152
섭진, 48, 190
욱건, 47, 164
경민, 65, 195
민수, 72, 168
민은, 61, 177
건예, 93, 184
섭경, 88, 154
욱예, 88, 172
섭채, 45, 182
상상, 67, 171
경민, 45, 163
섭건, 56, 155
경민, 45, 152
건진, 79, 158
섭경, 62, 162
은욱, 56, 160
욱철, 48, 165
철섭, 49, 159
진예, 60, 167
민욱, 88, 163
철섭, 59, 166
철은, 74, 155
수욱, 50, 152
채욱, 96, 159
철채, 60, 152
철건, 86, 183
건욱, 69, 161
건수, 79, 175
채채, 64, 164
섭수, 70, 165
수상, 86, 163
경채, 89, 158
욱건, 51, 198
경예, 81, 188
철상, 99, 191
섭철, 40, 197
경철, 95, 159
채섭, 95, 194
경철, 76, 165
건채, 84, 165
수욱, 70, 153
민은, 53, 195
건건, 41, 199
철채, 52, 177
수진, 90, 164
건건, 86, 169
채철, 40, 162
민건, 97, 164
섭경, 61, 188
예경, 80, 185
은욱, 72, 185
민채, 80, 157
수민, 75, 190
상민, 48, 171
상섭, 96, 191
진예, 69, 151
상예, 61, 189
섭예, 48, 191
예은, 45, 154
진욱, 75, 186
상민, 81, 173
경철, 50, 177
건채, 57, 166
경진, 91, 165
진경, 70, 171
욱수, 82, 170
은상, 74, 172
섭건, 76, 186
채상, 75, 166
채섭, 91, 161
건건, 55, 154
민경, 70, 187
예수, 79, 156
철예, 60, 174
예경, 66, 172
채은, 97, 156
예예, 72, 169
예민, 46, 161
진예, 97, 198
상경, 59, 169
철민, 80, 154
진수, 98, 188
민상, 96, 156
예경, 50, 156
은진, 80, 167
수건, 96, 191
은예, 56, 194
은예, 76, 153
수민, 75, 189
상진, 88, 162
민상, 40, 194
경은, 70, 186
욱경, 54, 179
경예, 54, 151
은경, 83, 192
채민, 79, 195
진진, 51, 196
민민, 42, 183
은민, 47, 178
건철, 82, 185
채철, 70, 151
건채, 60, 166
수채, 61, 163
수수, 58, 157
예채, 82, 190
섭진, 49, 175
건섭, 44, 157
상예, 93, 154
예수, 46, 161
경민, 70, 175
경은, 41, 165
진은, 60, 185
은경, 80, 173
경섭, 94, 181
진욱, 93, 160
철철, 78, 178
철경, 72, 152
철상, 59, 173
철진, 46, 198
상은, 67, 184
수상, 72, 196
경욱, 55, 186
예수, 94, 158
진진, 87, 172
민민, 97, 175
철채, 45, 158
섭욱, 74, 164
채예, 90, 192
채민, 70, 197
진상, 63, 197
민진, 52, 152
수은, 69, 163
경욱, 82, 151
채건, 75, 159
수욱, 84, 184
예은, 64, 168
욱건, 73, 165
은경, 67, 197
민수, 70, 166
예채, 86, 198
수섭, 89, 176
욱진, 43, 170
섭채, 57, 193
채건, 57, 172
경수, 98, 194
은섭, 65, 179
수상, 82, 158
섭경, 45, 157
상민, 54, 157
예진, 55, 176
채수, 80, 177
섭건, 92, 176
건철, 73, 175
채상, 89, 172
진욱, 83, 195
철섭, 52, 187
욱민, 42, 198
상수, 90, 187
경섭, 50, 153
경상, 88, 193
수은, 85, 164
진섭, 50, 183
채채, 47, 164
민예, 44, 184
은철, 89, 168
예건, 68, 154
민경, 91, 187
은민, 64, 170
진예, 71, 180
수상, 86, 156
은건, 74, 195
은상, 52, 164
예상, 91, 172
욱수, 91, 165
채은, 87, 195
상민, 48, 150
예섭, 41, 169
은예, 56, 185
수경, 53, 184
욱섭, 72, 178
철수, 72, 188
철상, 73, 161
욱예, 92, 191
진철, 78, 199
상수, 80, 170
철상, 94, 169
철예, 72, 189
욱진, 93, 178
채경, 54, 160
상민, 64, 174
채상, 83, 164
상수, 85, 150
진섭, 53, 162
채상, 40, 194
경채, 51, 194
민예, 69, 156
수진, 65, 165
욱민, 40, 186
경철, 47, 165
채경, 67, 189
은철, 75, 151
상은, 48, 167
경예, 59, 157
경진, 61, 163
경민, 82, 182
건은, 96, 192
진경, 66, 171
욱건, 66, 191
건민, 86, 150
예경, 42, 172
수철, 45, 164
경민, 72, 167
섭철, 80, 181
상은, 40, 195
예섭, 70, 170
상예, 57, 158
채섭, 58, 153
상수, 44, 165
상건, 40, 190
예수, 92, 187
섭채, 99, 180
철은, 73, 158
건건, 82, 182
채상, 47, 159
은은, 64, 199
상철, 99, 175
은건, 85, 164
상욱, 63, 186
채예, 82, 154
채채, 70, 198
섭예, 85, 168
은건, 90, 163
건건, 57, 192
수은, 85, 195
욱섭, 56, 154
경수, 80, 191
경은, 42, 186
상경, 77, 193
은채, 67, 186
경경, 48, 181
경경, 99, 197
은민, 43, 173
욱상, 83, 175
민건, 99, 166
욱민, 45, 199
철수, 88, 199
예상, 63, 199
은상, 80, 161
은은, 95, 169
채진, 55, 171
상욱, 70, 172
은섭, 66, 199
욱욱, 41, 171
경상, 45, 182
민철, 76, 183
민채, 99, 182
경섭, 50, 161
경상, 66, 177
수예, 52, 154
예상, 52, 176
채민, 66, 160
건경, 73, 170
진은, 41, 171
경민, 43, 189
진섭, 55, 160
철민, 95, 199
철진, 43, 189
섭철, 65, 174
수예, 58, 181
채경, 57, 152
진건, 80, 198
상수, 77, 193
채섭, 81, 179
상채, 68, 186
건은, 95, 188
경수, 62, 186
섭철, 40, 198
경섭, 46, 162
건철, 81, 178
섭상, 44, 152
상민, 67, 197
경섭, 57, 178
예예, 60, 159
진민, 65, 196
민예, 75, 176
철철, 40, 191
철수, 49, 158
욱예, 60, 198
상상, 78, 175
수진, 40, 197
수수, 40, 199
경철, 55, 156
민경, 40, 155
섭채, 60, 151
예수, 94, 174
섭예, 78, 189
수채, 48, 199
진상, 89, 199
채은, 45, 154
민건, 72, 155
민은, 54, 184
민상, 49, 190
채상, 86, 185
경채, 73, 172
은건, 69, 187
민경, 77, 199
수철, 41, 153
진진, 99, 179
섭민, 46, 160
채진, 80, 183
건은, 92, 184
섭섭, 82, 180
민섭, 81, 159
섭건, 76, 161
상욱, 95, 180
철철, 86, 162
건진, 46, 189
섭수, 77, 199
욱섭, 58, 187
경민, 51, 174
욱욱, 65, 169
건채, 78, 193
민철, 43, 168
섭진, 94, 189
채상, 91, 154
욱철, 52, 188
욱건, 99, 182
수은, 40, 151
경경, 49, 171
상민, 85, 190
수건, 45, 176
채수, 77, 192
진섭, 99, 170
건진, 40, 151
상철, 52, 177
은수, 57, 155
예은, 62, 197
은진, 64, 150
진진, 80, 163
수진, 66, 186
예민, 48, 197
민예, 89, 170
섭욱, 68, 197
섭섭, 94, 159
진채, 45, 188
섭진, 97, 179
은채, 78, 168
민상, 55, 181
건민, 62, 189
민은, 93, 175
채경, 82, 156
상철, 60, 167
철경, 81, 191
진채, 59, 183
민채, 96, 183
철민, 61, 158
섭상, 83, 165
섭민, 57, 184
욱예, 76, 177
철욱, 67, 165
철은, 87, 166
은은, 68, 195
섭경, 50, 164
철민, 45, 186
예수, 73, 176
섭건, 41, 174
수진, 91, 163
진욱, 60, 159
채욱, 78, 185
진진, 64, 192
민경, 49, 173
상상, 50, 184
경진, 47, 194
섭건, 90, 171
채건, 65, 182
경수, 62, 173
상채, 78, 150
채민, 71, 186
민철, 88, 176
상욱, 54, 176
예경, 45, 176
민은, 82, 167
예철, 71, 168
욱예, 62, 154
예철, 85, 184
경민, 90, 153
상욱, 80, 192
은진, 82, 198
채섭, 82, 198
진욱, 92, 151
욱건, 93, 176
상섭, 95, 184
예욱, 94, 184
건진, 74, 152
채상, 84, 169
경은, 63, 187
상욱, 76, 192
은욱, 62, 175
경섭, 57, 169
욱민, 44, 159
철예, 66, 157
채철, 70, 192
민건, 74, 195
상상, 97, 189
은채, 63, 190
상민, 96, 167
건채, 97, 166
채수, 97, 150
상경, 74, 176
상경, 68, 166
건예, 44, 194
은상, 43, 158
경욱, 48, 170
욱섭, 99, 190
건채, 90, 184
수은, 56, 185
예욱, 95, 186
경수, 80, 190
건수, 73, 155
상은, 76, 196
채섭, 98, 157
은예, 45, 158
철은, 78, 150
수수, 48, 197
욱진, 72, 176
섭채, 98, 165
채수, 87, 156
채욱, 85, 173
건은, 54, 194
채철, 65, 164
진수, 76, 154
철욱, 42, 169
채섭, 55, 197
욱예, 51, 170
수채, 76, 189
진예, 98, 193
은욱, 62, 179
진상, 97, 184
채예, 82, 188
진은, 87, 179
상경, 53, 178
철수, 69, 189
섭예, 45, 155
수수, 99, 158
섭상, 99, 187
건수, 94, 181
철민, 59, 188
진섭, 68, 196
철상, 64, 192
상경, 65, 171
은채, 45, 178
철상, 63, 169
은채, 86, 189
건진, 66, 195
건예, 51, 157
수은, 78, 171
예철, 76, 197
수민, 62, 174
욱민, 88, 174
상섭, 49, 199
섭은, 55, 192
은건, 84, 199
은예, 46, 181
욱수, 56, 189
건진, 66, 189
수욱, 78, 197
민은, 73, 176
섭경, 46, 189
예상, 93, 171
섭경, 71, 150
수섭, 74, 192
진욱, 52, 194
진채, 95, 166
수건, 45, 197
은진, 40, 197
상욱, 56, 171
상진, 44, 194
민철, 46, 180
경채, 84, 176
민건, 69, 182
수상, 88, 183
철욱, 44, 182
욱민, 47, 183
상민, 64, 180
경철, 93, 173
채예, 46, 199
섭은, 78, 190
은욱, 81, 185
섭은, 49, 195
철섭, 60, 185
섭섭, 43, 165
수진, 86, 186
은예, 73, 172
민섭, 70, 157
채은, 53, 159
철경, 52, 159
예욱, 88, 195
섭욱, 67, 179
진은, 55, 153
진은, 50, 190
상욱, 42, 198
욱진, 88, 159
은섭, 48, 198
상민, 92, 195
진섭, 93, 177
은민, 71, 180
채철, 91, 198
건상, 48, 186
상섭, 57, 186
섭경, 77, 176
건예, 76, 167
욱수, 56, 166
예민, 74, 189
섭은, 89, 185
수욱, 85, 198
철섭, 48, 197
채진, 92, 158
은섭, 54, 184
경진, 83, 176
상욱, 95, 198
진철, 43, 161
욱예, 44, 183
건섭, 75, 182
수채, 69, 177
상건, 56, 156
예건, 73, 189
경욱, 82, 185
섭경, 81, 196
욱상, 73, 185
욱건, 70, 174
민욱, 96, 168
섭경, 95, 150
섭민, 44, 161
수욱, 46, 178
채철, 72, 166
철철, 85, 165
은수, 69, 170
진경, 44, 162
경예, 48, 192
수상, 86, 170
섭민, 41, 192
섭채, 64, 179
건욱, 73, 191
경철, 70, 188
상섭, 95, 163
진건, 47, 152
채채, 95, 167
민채, 73, 190
욱예, 67, 161
상은, 84, 178
섭채, 57, 176
경진, 44, 188
건욱, 40, 178
철건, 52, 197
건진, 86, 183
민은, 65, 155
채상, 78, 184
경채, 79, 199
수경, 64, 157
채민, 91, 161
경욱, 84, 153
철경, 72, 154
예철, 51, 174
욱철, 89, 184
섭예, 81, 178
상진, 91, 176
예채, 62, 179
예건, 69, 174
민수, 41, 199
경은, 88, 172
은욱, 55, 191
철철, 76, 189
은섭, 84, 194
수건, 79, 172
진은, 56, 178
은채, 53, 176
채섭, 42, 161
채철, 42, 169
건경, 92, 168
건경, 55, 165
예욱, 69, 177
상상, 89, 187
채예, 90, 191
민진, 59, 199
채진, 76, 180
진수, 46, 177
은상, 51, 172
은섭, 99, 151
예철, 76, 155
수섭, 81, 153
은철, 79, 179
철예, 80, 169
채수, 59, 164
예경, 92, 155
상섭, 89, 161
상수, 99, 192
욱예, 65, 167
상섭, 86, 184
수경, 61, 192
민섭, 79, 172
욱은, 97, 162
예민, 70, 188
채건, 41, 156
예욱, 95, 165
경채, 60, 164
은채, 43, 163
예철, 78, 192
진진, 51, 165
섭수, 87, 168
섭상, 48, 159
예섭, 87, 153
채예, 76, 162
예수, 74, 156
건경, 91, 158
상예, 57, 155
수상, 98, 181
진철, 88, 176
섭예, 91, 162
상철, 73, 153
은진, 84, 162
경섭, 58, 167
예경, 93, 174
진욱, 43, 168
상섭, 99, 171
